city,timestamp,temperature,season
New York,2010-01-01,4.650885715787343,winter
New York,2010-01-02,0.18690782211420337,winter
New York,2010-01-03,5.513509578007522,winter
New York,2010-01-04,6.728523972121641,winter
New York,2010-01-05,-4.447639172104139,winter
New York,2010-01-06,-5.525332009199023,winter
New York,2010-01-07,4.224292811460023,winter
New York,2010-01-08,-3.539110357829794,winter
New York,2010-01-09,5.123506082097139,winter
New York,2010-01-10,-2.8825869070956243,winter
New York,2010-01-11,1.3043477308331526,winter
New York,2010-01-12,-3.910537992649197,winter
New York,2010-01-13,6.093583487604674,winter
New York,2010-01-14,-4.964418230280046,winter
New York,2010-01-15,6.053502081654579,winter
New York,2010-01-16,-2.1211933353688677,winter
New York,2010-01-17,5.2976921263457,winter
New York,2010-01-18,-5.750788685128507,winter
New York,2010-01-19,-5.279244104485686,winter
New York,2010-01-20,-0.8064151524578203,winter
New York,2010-01-21,-10.003302977855508,winter
New York,2010-01-22,-3.5135675808289166,winter
New York,2010-01-23,4.2893753296240575,winter
New York,2010-01-24,-1.415980478211483,winter
New York,2010-01-25,5.689272445993936,winter
New York,2010-01-26,-5.650561413860813,winter
New York,2010-01-27,-9.396394269130074,winter
New York,2010-01-28,-0.4809267891579922,winter
New York,2010-01-29,10.549500829352292,winter
New York,2010-01-30,-4.728874308544949,winter
New York,2010-01-31,-11.720371281454327,winter
New York,2010-02-01,1.5725323978323924,winter
New York,2010-02-02,2.017364564410786,winter
New York,2010-02-03,-5.495110486179204,winter
New York,2010-02-04,6.137069052576011,winter
New York,2010-02-05,-0.6971413745207009,winter
New York,2010-02-06,8.50103930595207,winter
New York,2010-02-07,4.740680731465437,winter
New York,2010-02-08,0.07398193397834978,winter
New York,2010-02-09,0.5206816658144999,winter
New York,2010-02-10,3.3535583381427303,winter
New York,2010-02-11,3.418033453302129,winter
New York,2010-02-12,4.8600381895732,winter
New York,2010-02-13,-5.443696265193282,winter
New York,2010-02-14,2.213735689345703,winter
New York,2010-02-15,-0.924785402125146,winter
New York,2010-02-16,6.887789428025631,winter
New York,2010-02-17,-5.015195261785902,winter
New York,2010-02-18,4.046178996385209,winter
New York,2010-02-19,-6.442282111360431,winter
New York,2010-02-20,-1.5928282443092323,winter
New York,2010-02-21,-1.6456484552299253,winter
New York,2010-02-22,6.3473807183919995,winter
New York,2010-02-23,-1.151169451525265,winter
New York,2010-02-24,-2.683785369857969,winter
New York,2010-02-25,1.756610656667739,winter
New York,2010-02-26,-1.360024106264828,winter
New York,2010-02-27,3.570403449560054,winter
New York,2010-02-28,3.345003093295562,winter
New York,2010-03-01,20.393821648873406,spring
New York,2010-03-02,9.17325243155526,spring
New York,2010-03-03,6.409202753651233,spring
New York,2010-03-04,7.414779414981663,spring
New York,2010-03-05,5.572937178837551,spring
New York,2010-03-06,7.8350766535036485,spring
New York,2010-03-07,1.4727902187761046,spring
New York,2010-03-08,13.166184202482729,spring
New York,2010-03-09,9.292396437310014,spring
New York,2010-03-10,16.019196215524545,spring
New York,2010-03-11,18.984105066343197,spring
